Model,Temp,Language,Total,Compilable_before (%),Compilable_after (%)
gpt-4o-mini,0.6,Arabic,1000,0.2,89.3
gpt-4o-mini,0.6,Bulgarian,1000,0.0,87.5
gpt-4o-mini,0.6,Chinese,1000,0.0,92.80000000000001
gpt-4o-mini,0.6,Dutch,1000,0.0,93.10000000000001
gpt-4o-mini,0.6,English,1000,0.0,96.1
gpt-4o-mini,0.6,Estonian,1000,0.0,95.1
gpt-4o-mini,0.6,Finnish,1000,0.0,94.0
gpt-4o-mini,0.6,French,1000,0.0,94.3
gpt-4o-mini,0.6,German,1000,0.0,91.7
gpt-4o-mini,0.6,Greek,1000,0.0,89.4
gpt-4o-mini,0.6,Hebrew,1000,0.0,91.9
gpt-4o-mini,0.6,Hungarian,1000,0.0,87.8
gpt-4o-mini,0.6,Indonesian,1000,0.0,92.5
gpt-4o-mini,0.6,Italian,1000,0.0,94.0
gpt-4o-mini,0.6,Malay,1000,0.0,93.30000000000001
gpt-4o-mini,0.6,Persian,1000,0.0,85.1
gpt-4o-mini,0.6,Portuguese,1000,0.0,91.3
gpt-4o-mini,0.6,Russian,1000,0.0,87.7
gpt-4o-mini,0.6,Spanish,1000,0.1,94.6
gpt-4o-mini,0.6,Tagalog,1000,0.0,90.9
gpt-4o-mini,0.6,Turkish,1000,0.1,91.9
gpt-4o-mini,0.6,Vietnamese,1000,0.0,93.10000000000001
gpt-4o-mini,0.8,Afrikaans,1000,0.1,88.7
gpt-4o-mini,0.8,Arabic,1000,0.4,88.2
gpt-4o-mini,0.8,Bulgarian,1000,0.0,87.7
gpt-4o-mini,0.8,Chinese,1000,0.0,92.80000000000001
gpt-4o-mini,0.8,Dutch,1000,0.1,91.9
gpt-4o-mini,0.8,English,1000,0.0,96.89999999999999
gpt-4o-mini,0.8,Estonian,1000,0.0,94.5
gpt-4o-mini,0.8,Finnish,1000,0.0,93.89999999999999
gpt-4o-mini,0.8,French,1000,0.0,94.5
gpt-4o-mini,0.8,German,1000,0.0,90.3
gpt-4o-mini,0.8,Greek,1000,0.0,89.1
gpt-4o-mini,0.8,Hebrew,1000,0.0,92.10000000000001
gpt-4o-mini,0.8,Hungarian,1000,0.0,87.7
gpt-4o-mini,0.8,Indonesian,1000,0.1,92.5
gpt-4o-mini,0.8,Italian,1000,0.0,92.80000000000001
gpt-4o-mini,0.8,Malay,1000,0.3,93.10000000000001
gpt-4o-mini,0.8,Persian,1000,0.0,86.4
gpt-4o-mini,0.8,Portuguese,1000,0.0,91.4
gpt-4o-mini,0.8,Russian,1000,0.0,87.0
gpt-4o-mini,0.8,Spanish,1000,0.0,93.2
gpt-4o-mini,0.8,Tagalog,1000,0.0,90.5
gpt-4o-mini,0.8,Turkish,1000,0.1,90.3
gpt-4o-mini,0.8,Vietnamese,1000,0.0,93.30000000000001
gpt-4o-mini,1.0,Afrikaans,1000,0.0,88.6
gpt-4o-mini,1.0,Arabic,1000,0.3,87.9
gpt-4o-mini,1.0,Bulgarian,1000,0.1,85.1
gpt-4o-mini,1.0,Chinese,1000,0.0,92.5
gpt-4o-mini,1.0,Dutch,1000,0.2,90.7
gpt-4o-mini,1.0,English,1000,0.0,96.8
gpt-4o-mini,1.0,Estonian,1000,0.2,94.39999999999999
gpt-4o-mini,1.0,Finnish,1000,0.0,93.2
gpt-4o-mini,1.0,French,1000,0.0,93.10000000000001
gpt-4o-mini,1.0,German,1000,0.0,90.3
gpt-4o-mini,1.0,Greek,1000,0.0,87.9
gpt-4o-mini,1.0,Hebrew,1000,0.1,91.3
gpt-4o-mini,1.0,Hungarian,1000,0.2,85.5
gpt-4o-mini,1.0,Indonesian,1000,0.0,92.30000000000001
gpt-4o-mini,1.0,Italian,1000,0.0,93.2
gpt-4o-mini,1.0,Malay,1000,0.1,93.2
gpt-4o-mini,1.0,Persian,1000,0.0,84.6
gpt-4o-mini,1.0,Portuguese,1000,0.0,90.0
gpt-4o-mini,1.0,Russian,1000,0.0,87.4
gpt-4o-mini,1.0,Spanish,1000,0.0,93.2
gpt-4o-mini,1.0,Tagalog,1000,0.0,89.7
gpt-4o-mini,1.0,Turkish,1000,0.0,91.2
gpt-4o-mini,1.0,Vietnamese,1000,0.0,92.7
qwen2.5,0.0,Afrikaans,100,2.0,86.0
qwen2.5,0.0,Arabic,100,3.0,87.0
qwen2.5,0.0,Bulgarian,100,10.0,79.0
qwen2.5,0.0,Chinese,100,5.0,89.0
qwen2.5,0.0,Dutch,100,4.0,90.0
qwen2.5,0.0,English,100,2.0,69.0
qwen2.5,0.0,Estonian,100,1.0,80.0
qwen2.5,0.0,Finnish,100,5.0,78.0
qwen2.5,0.0,French,100,3.0,89.0
qwen2.5,0.0,German,100,4.0,83.0
