Model,Temp,Language,Total,Compilable_before,Compilable_after,Compilable_before (%),Compilable_after (%)
gpt-4o-mini,0.8,Chinese,1240,464,866,37.41935483870968,69.83870967741936
gpt-4o-mini,0.8,Dutch,1240,421,850,33.95161290322581,68.54838709677419
gpt-4o-mini,0.8,English,1250,391,836,31.28,66.88
gpt-4o-mini,0.8,Estonian,1240,413,883,33.306451612903224,71.20967741935483
gpt-4o-mini,0.8,Finnish,1240,432,850,34.83870967741935,68.54838709677419
gpt-4o-mini,0.8,French,1240,479,811,38.62903225806452,65.40322580645162
gpt-4o-mini,0.8,German,1240,510,760,41.12903225806452,61.29032258064516
gpt-4o-mini,0.8,Greek,1240,660,742,53.2258064516129,59.83870967741935
gpt-4o-mini,0.8,Hebrew,1240,506,816,40.806451612903224,65.80645161290323
gpt-4o-mini,0.8,Hungarian,1240,585,757,47.17741935483871,61.04838709677419
gpt-4o-mini,0.8,Indonesian,1240,438,844,35.32258064516129,68.06451612903226
gpt-4o-mini,0.8,Italian,1240,436,802,35.16129032258065,64.6774193548387
gpt-4o-mini,0.8,Malay,1240,427,864,34.435483870967744,69.6774193548387
gpt-4o-mini,0.8,Persian,1240,645,770,52.016129032258064,62.096774193548384
gpt-4o-mini,0.8,Portuguese,1240,460,823,37.096774193548384,66.37096774193549
gpt-4o-mini,0.8,Russian,1240,602,757,48.54838709677419,61.04838709677419
gpt-4o-mini,0.8,Spanish,1240,412,841,33.225806451612904,67.8225806451613
gpt-4o-mini,0.8,Tagalog,1240,458,824,36.935483870967744,66.45161290322581
gpt-4o-mini,0.8,Turkish,1240,477,848,38.46774193548387,68.38709677419355
gpt-4o-mini,0.8,Vietnamese,1240,461,844,37.17741935483871,68.06451612903226
gpt-4o-mini,1.0,Afrikaans,1240,417,878,33.62903225806452,70.80645161290322
gpt-4o-mini,1.0,Arabic,1240,553,822,44.59677419354839,66.29032258064517
gpt-4o-mini,1.0,Bulgarian,1240,602,758,48.54838709677419,61.12903225806452
gpt-4o-mini,1.0,Chinese,1240,447,856,36.04838709677419,69.03225806451613
gpt-4o-mini,1.0,Dutch,1240,420,847,33.87096774193548,68.30645161290323
gpt-4o-mini,1.0,English,1250,391,857,31.28,68.56
gpt-4o-mini,1.0,Estonian,1240,415,880,33.46774193548387,70.96774193548387
gpt-4o-mini,1.0,Finnish,1240,440,837,35.483870967741936,67.5
gpt-4o-mini,1.0,French,1240,487,799,39.274193548387096,64.43548387096774
gpt-4o-mini,1.0,German,1240,513,771,41.37096774193548,62.17741935483871
