Model,Language,Temp,vul@1,vul@3,vul@5,in_vul@1,in_vul@3,in_vul@5,security@1,security@3,security@5,in_security@1,in_security@3,in_security@5
gemini-2.5-flash,Finnish,0.0,42.5287356321839,42.5287356321839,42.5287356321839,65.51724137931035,65.51724137931035,65.51724137931035,57.47126436781609,57.47126436781609,57.47126436781609,34.48275862068966,34.48275862068966,34.48275862068966
gemini-2.5-flash,Hungarian,0.0,42.89473684210526,43.15789473684211,43.15789473684211,62.36842105263158,63.0827067669173,63.1578947368421,56.84210526315789,56.84210526315789,56.84210526315789,37.89473684210527,36.84210526315789,36.84210526315789
gemini-2.5-flash,English,0.0,46.470588235294116,46.87647058823529,46.97963800904977,62.47058823529411,63.68004201680672,63.96178086619263,53.0,53.0,53.0,36.0,36.0,36.0
gpt-4o-mini,Acehnese,0.2,41.83098591549296,42.629107981220656,42.95774647887324,64.92957746478874,66.37323943661971,66.86787391012743,56.33802816901409,56.33802816901409,56.33802816901409,33.80281690140845,32.3943661971831,32.3943661971831
gpt-4o-mini,Hebrew,0.2,45.56818181818182,45.79545454545455,46.02272727272727,70.56818181818181,71.5625,71.5909090909091,54.54545454545454,54.54545454545454,54.54545454545454,28.40909090909091,28.40909090909091,28.40909090909091
gpt-4o-mini,Vietnamese,0.2,49.20454545454545,50.265151515151516,50.56818181818182,72.1590909090909,73.66477272727273,74.17929292929291,50.0,48.86363636363637,48.86363636363637,30.681818181818183,26.136363636363637,25.0
gpt-4o-mini,Indonesian,0.2,46.84782608695652,48.052536231884055,48.580917874396135,66.30434782608695,67.21014492753623,67.38267770876467,52.17391304347826,51.08695652173913,51.08695652173913,34.78260869565217,32.608695652173914,32.608695652173914
gpt-4o-mini,Malayalam,0.2,43.73333333333333,44.0,44.0,70.93333333333334,72.17777777777778,73.03703703703704,57.333333333333336,56.00000000000001,56.00000000000001,29.333333333333332,26.666666666666668,26.666666666666668
gpt-4o-mini,Tagalog,0.2,47.0,47.453703703703695,47.68518518518518,67.55555555555556,68.80555555555556,69.34744268077601,53.333333333333336,53.333333333333336,53.333333333333336,34.44444444444444,32.22222222222222,32.22222222222222
gpt-4o-mini,Dutch,0.2,48.00000000000001,48.56481481481481,48.79629629629629,68.88888888888889,69.22222222222221,69.44444444444444,52.22222222222223,51.11111111111111,51.11111111111111,31.11111111111111,31.11111111111111,31.11111111111111
gpt-4o-mini,German,0.2,45.21739130434783,45.94202898550724,46.19565217391305,62.173913043478265,62.53623188405797,62.80193236714976,54.347826086956516,53.2608695652174,53.2608695652174,36.95652173913043,36.95652173913043,36.95652173913043
gpt-4o-mini,Afrikaans,0.2,45.78313253012048,46.9277108433735,46.98795180722892,71.20481927710843,73.30321285140563,73.48919487473704,54.21686746987952,53.01204819277109,53.01204819277109,28.915662650602407,26.506024096385545,26.506024096385545
gpt-4o-mini,Portuguese,0.2,43.01204819277108,45.45180722891566,46.395104226429524,66.02409638554217,67.429718875502,67.46987951807229,54.21686746987952,54.21686746987952,53.01204819277109,33.734939759036145,32.53012048192771,32.53012048192771
gpt-4o-mini,Spanish,0.2,45.326086956521735,45.65217391304348,45.65217391304348,65.54347826086956,66.6394927536232,67.30072463768116,54.347826086956516,54.347826086956516,54.347826086956516,33.69565217391305,31.521739130434785,31.521739130434785
